ref,part,device,value,sheet,package,footprint,source,note,assembly,mpn
C127,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.E17,FIT,C 1uF/10V
C128,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.M2,FIT,C 1uF/10V
C129,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.G1,FIT,C 1uF/10V
C130,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.L14,FIT,C 1uF/10V
C131,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.F20,FIT,C 1uF/10V
C132,C,C 1uF/10V,1uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.F21,FIT,C 1uF/10V
C133,C,C 4.7uF/10V,4.7uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.L21,FIT,C 4.7uF/10V
C134,C,C 4.7uF/10V,4.7uF/10V,2,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,Local bypass for U1.K19,FIT,C 4.7uF/10V
R103,R,R 0R VIOA=3V3,0R VIOA=3V3,2,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 0R VIOA=3V3
Y101,A,E1SB48E001G00E,48MHz CL8.8pF E1SB48E001G00E,3,XTAL_CC_200X160_H050,b30ef1d05eed5c158175dd5dd9ca9f9d,https://wiki.sifli.com/en/hardware/SF32LB58x-HW-Application.html,,FIT,E1SB48E001G00E
Y102,Y,Y 32.768kHz CL7pF ETST00327000LE,32.768kHz CL7pF ETST00327000LE,3,XTAL_2SM_320X150_H080,9844710041e2503394730315930003ab,,,FIT,Y 32.768kHz CL7pF ETST00327000LE
C140,C,C DNP load trim,DNP load trim,3,SC0402,c229098197984ccd99912a2643d8918a,,Reserve tuning pads; do not fit arbitrary 12pF/22pF values,DNP,C DNP load trim
C141,C,C DNP load trim,DNP load trim,3,SC0402,c229098197984ccd99912a2643d8918a,,Reserve tuning pads; do not fit arbitrary 12pF/22pF values,DNP,C DNP load trim
C142,C,C DNP load trim,DNP load trim,3,SC0402,c229098197984ccd99912a2643d8918a,,Reserve tuning pads; do not fit arbitrary 12pF/22pF values,DNP,C DNP load trim
C143,C,C DNP load trim,DNP load trim,3,SC0402,c229098197984ccd99912a2643d8918a,,Reserve tuning pads; do not fit arbitrary 12pF/22pF values,DNP,C DNP load trim
R101,R,R 10k 1%,10k 1%,3,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 10k 1%
C144,C,C 100nF/10V,100nF/10V,3,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
SW101,A,TC-1109DE-C-C,RESET / TC1109,3,SWITCH-PUSH-TC-1109DE-C-C,6c0c3bab771e4503b73ba1a140a611b1,https://atta.szlcsc.com/upload/public/pdf/source/20211011/9F1885726FDDBACA9292254052EEAAAD.pdf,,FIT,TC-1109DE-C-C
R102,R,R 10k 1%,10k 1%,3,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 10k 1%
SW102,A,TC-1109DE-C-C,BOOT / HOLD TO DOWNLOAD / TC1109,3,SWITCH-PUSH-TC-1109DE-C-C,6c0c3bab771e4503b73ba1a140a611b1,https://atta.szlcsc.com/upload/public/pdf/source/20211011/9F1885726FDDBACA9292254052EEAAAD.pdf,,FIT,TC-1109DE-C-C
J101,A,DEBUG_1x07,DEBUG_1x07,3,J101_WIRE_OR_POGO_7P,5dc4581acdc352fd99479374da4010af,,,PCB feature,NO COMPONENT - PCB PAD
U104,A,PY25Q128HA-WXH-IR,PY25Q128HA-WXH-IR,4,PUYA_WSON8_6x5_P1.27_EP4x3.4,786ae8d770fb5a52b660781c67f16748,https://www.puyasemi.com/en/h_series653/3187.html,,FIT,PY25Q128HA-WXH-IR
Q101,A,CJ3139K,CJ3139K,4,SOT723-1.2X1.2X0.5MM,d743c390ddc25575a5768f6d986a8215,https://downloads.sifli.com/hardware/files/documentation/SF32LB58-MOD-V1.0.1.zip,,FIT,CJ3139K
Q102,A,CJ3134K,CJ3134K,4,SOT723-1.2X1.2X0.5MM,d743c390ddc25575a5768f6d986a8215,https://downloads.sifli.com/hardware/files/documentation/SF32LB58-MOD-V1.0.1.zip,,FIT,CJ3134K
R110,R,R 1M,1M,4,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 1M
R111,R,R 1M,1M,4,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 1M
R112,R,R 0R DNP BYPASS,0R DNP BYPASS,4,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,Bring-up bypass option only; normally DNP to retain the reference power switch,DNP,R 0R DNP BYPASS
C150,C,C 1uF/10V,1uF/10V,4,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 1uF/10V
Q103,A,CJ3139K,CJ3139K,4,SOT723-1.2X1.2X0.5MM,d743c390ddc25575a5768f6d986a8215,https://downloads.sifli.com/hardware/files/documentation/SF32LB58-MOD-V1.0.1.zip,,FIT,CJ3139K
Q104,A,CJ3134K,CJ3134K,4,SOT723-1.2X1.2X0.5MM,d743c390ddc25575a5768f6d986a8215,https://downloads.sifli.com/hardware/files/documentation/SF32LB58-MOD-V1.0.1.zip,,FIT,CJ3134K
R113,R,R 1M,1M,4,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 1M
R114,R,R 1M,1M,4,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 1M
R115,R,R 0R DNP BYPASS,0R DNP BYPASS,4,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,Bring-up bypass option only; normally DNP to retain the reference power switch,DNP,R 0R DNP BYPASS
C151,C,C 1uF/10V,1uF/10V,4,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 1uF/10V
C152,C,C 100nF/10V,100nF/10V,4,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
R116,R,R 10k,10k,4,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 10k
R117,R,R 10k,10k,4,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 10k
J201,A,1012-16FGG0201R3,1012-16FGG0201R3,5,CON_USB_TYPEC_16P_1012-16FHG02R3,d253286b093641388fb3882a5ad11ef5,https://wiki.sifli.com/board/sf32lb58x/SF32LB58-DevKit-LCD.html,,FIT,1012-16FGG0201R3
R201,R,R 5.1k 1%,5.1k 1%,5,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 5.1k 1%
R202,R,R 5.1k 1%,5.1k 1%,5,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 5.1k 1%
F201,F,F 1206L050/15YR 0.5A 15V,1206L050/15YR 0.5A 15V,5,PTC_1206_Littelfuse,c6142be5e0565864b5cff1b9245737a1,,0.5A hold is at room temperature. Derate input current at elevated ambient; validate fuse self-heating.,FIT,1206L050/15YR
U201,A,BQ24074RGTR,BQ24074RGTR,5,TI_RGT0016C,0203a10104e95553b79dc9611f9df7e0,https://www.ti.com/lit/ds/symlink/bq24074.pdf,,FIT,BQ24074RGTR
R203,R,R 6.98k 1%,6.98k 1%,5,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 6.98k 1%
R204,R,R 3.09k 1%,3.09k 1%,5,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 3.09k 1%
R205,R,R 47k 1%,47k 1%,5,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 47k 1%
R206,R,R 47k 1%,47k 1%,5,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 47k 1%
C201,C,C 4.7uF/16V,4.7uF/16V,5,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 4.7uF/16V
C202,C,C 10uF/10V,10uF/10V,5,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
C203,C,C 4.7uF/10V,4.7uF/10V,5,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 4.7uF/10V
J202,A,BATTERY_1x03,BATTERY_1x03,5,J202_WIRE_OR_POGO_3P,f46371e0f90751248d92c51f672108e0,,,PCB feature,NO COMPONENT - PCB PAD
U301,A,TPS62840DLCR,TPS62840DLCR,6,TI_DLC0008B,bd5fb7e92ab05fec9766e97ac7281d0d,https://www.ti.com/lit/ds/symlink/tps62840.pdf,,FIT,TPS62840DLCR
L301,L,L 2.2uH XFL3012-222MEC,2.2uH XFL3012-222MEC,6,Coilcraft_XFL3012,5e401768f1305d94846e694c40adff01,,,FIT,XFL3012-222MEC
C301,C,C 4.7uF/10V,4.7uF/10V,6,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 4.7uF/10V
C302,C,C 10uF/10V,10uF/10V,6,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
U302,A,TPS63031DSKR,TPS63031DSKR,6,TI_DSK0010A,eb82ca35a7c2555c93cee934d7006762,https://www.ti.com/lit/ds/symlink/tps63031.pdf,,FIT,TPS63031DSKR
L302,L,L 1.5uH XFL3012-152MEC,1.5uH XFL3012-152MEC,6,Coilcraft_XFL3012,5e401768f1305d94846e694c40adff01,,,FIT,XFL3012-152MEC
C303,C,C 10uF/10V,10uF/10V,6,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
C304,C,C 100nF/10V,100nF/10V,6,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
C305,C,C 10uF/10V,10uF/10V,6,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
C306,C,C 10uF/10V,10uF/10V,6,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
U303,A,TPS610997DRVR,TPS610997DRVR,6,TI_DRV0006A,0ec3e8f645a953ca9bfebfba26cca7ca,https://www.ti.com/lit/ds/symlink/tps61099.pdf,,FIT,TPS610997DRVR
L303,L,L 2.2uH XFL3012-222MEC,2.2uH XFL3012-222MEC,6,Coilcraft_XFL3012,5e401768f1305d94846e694c40adff01,,,FIT,XFL3012-222MEC
C307,C,C 10uF/10V,10uF/10V,6,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
C308,C,C 10uF/10V,10uF/10V,6,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
C309,C,C 10uF/10V,10uF/10V,6,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
R301,R,R 100k 1%,100k 1%,6,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 100k 1%
J401,A,LCD_ADAPTER_2x20,LCD_ADAPTER_2x20,7,HDR-TH_40P-P2.54-V-M-R2-C20-S2.54,947ab661c95042fb8fb976dacd78ba85,https://wiki.sifli.com/board/sf32lb58x/SF32LB58-DevKit-LCD.html,,FIT,LCD_ADAPTER_2x20
R401,R,R 4.7k DNP,4.7k DNP,7,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,Fit only if the adapter has no pull-up; verify pull-up voltage,DNP,R 4.7k DNP
R402,R,R 4.7k DNP,4.7k DNP,7,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,Fit only if the adapter has no pull-up; verify pull-up voltage,DNP,R 4.7k DNP
C401,C,C 10uF/10V,10uF/10V,7,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
C402,C,C 100nF/10V,100nF/10V,7,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
J402,A,CROWN_AB_SWITCH,CROWN_AB_SWITCH,7,J402_WIRE_OR_POGO_5P,583ea1b476945960b2283d795a29067c,,,PCB feature,NO COMPONENT - PCB PAD
R403,R,R 47k 1%,47k 1%,7,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 47k 1%
R404,R,R 47k 1%,47k 1%,7,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 47k 1%
R405,R,R 47k 1%,47k 1%,7,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 47k 1%
R406,R,R 47k 1%,47k 1%,7,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 47k 1%
R407,R,R 47k 1%,47k 1%,7,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 47k 1%
SW401,A,TC-1109DE-C-C,SIDE / TC1109,7,SWITCH-PUSH-TC-1109DE-C-C,6c0c3bab771e4503b73ba1a140a611b1,https://atta.szlcsc.com/upload/public/pdf/source/20211011/9F1885726FDDBACA9292254052EEAAAD.pdf,,FIT,TC-1109DE-C-C
SW402,A,TC-1109DE-C-C,HOME / WAKE / TC1109,7,SWITCH-PUSH-TC-1109DE-C-C,6c0c3bab771e4503b73ba1a140a611b1,https://atta.szlcsc.com/upload/public/pdf/source/20211011/9F1885726FDDBACA9292254052EEAAAD.pdf,,FIT,TC-1109DE-C-C
U501,A,LSM6DSOTR,LSM6DSOTR,8,ST_LSM6DSO_LGA14_3x2.5_P0.5,2cada92f940a54469861a4bc339c3cb4,https://www.st.com/resource/en/datasheet/lsm6dso.pdf,,FIT,LSM6DSOTR
R501,R,R 4.7k 1%,4.7k 1%,8,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 4.7k 1%
R502,R,R 4.7k 1%,4.7k 1%,8,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 4.7k 1%
C501,C,C 100nF/10V,100nF/10V,8,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
C502,C,C 100nF/10V,100nF/10V,8,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
U502,A,DRV2605LDGSR,DRV2605LDGSR,8,TI_DGS0010A,b5e30da67f925eff8564b54914025953,https://www.ti.com/lit/ds/symlink/drv2605l.pdf,,FIT,DRV2605LDGSR
C503,C,C 1uF/10V,1uF/10V,8,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 1uF/10V
C504,C,C 1uF/10V,1uF/10V,8,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 1uF/10V
R503,R,R 100k 1%,100k 1%,8,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 100k 1%
J501,A,LRA_2PIN,LRA_2PIN,8,J501_WIRE_OR_POGO_2P,8585285bc50b5a2396db1178e0f445cb,,,PCB feature,NO COMPONENT - PCB PAD
R504,R,R 1M 1%,1M 1%,8,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 1M 1%
R505,R,R 220k 1%,220k 1%,8,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 220k 1%
C505,C,C 100nF/10V,100nF/10V,8,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
U601,A,MAXM86146CFU+,MAXM86146CFU+,9,MAXIM_90-100112,72d4838edd75527fb4e85cd1e3af4cc2,https://www.analog.com/media/en/technical-documentation/data-sheets/maxm86146.pdf,,FIT,MAXM86146CFU+
C601,C,C 1uF/10V,1uF/10V,9,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 1uF/10V
C602,C,C 10uF/10V,10uF/10V,9,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
C603,C,C 100nF/10V,100nF/10V,9,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
C604,C,C 1uF/10V,1uF/10V,9,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 1uF/10V
C605,C,C 1uF/10V,1uF/10V,9,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 1uF/10V
C606,C,C 10uF/10V,10uF/10V,9,SC0603-S,51dbad8f50a9484aa62d5f6da682dfcd,,,FIT,C 10uF/10V
C607,C,C 100nF/10V,100nF/10V,9,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
R601,R,R 4.7k 1%,4.7k 1%,9,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 4.7k 1%
R602,R,R 4.7k 1%,4.7k 1%,9,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 4.7k 1%
R603,R,R 10R 1%,10R 1%,9,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 10R 1%
C608,C,C 100nF/10V,100nF/10V,9,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
Y601,Y,Y 32.768kHz CL6pF CM1610H32768DZB,32.768kHz CL6pF CM1610H32768DZB,9,XTALDFN160X100X50-2M,53487a2b57b95eae9290433706200197,,"ESR <90k, C0<2pF; confirm load network against selected crystal and reference design",FIT,CM1610H32768DZB
U701,A,MAX14689EWL+T,MAX14689EWL+T,10,MAXIM_21-0459_W91B1-7,f5fb5dc9b1e75c23a6289f6eb4f41660,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX14689.pdf,,FIT,MAX14689EWL+T
D701,A,SFH7015,SFH7015,10,LED_SFH7015,ef870643506e5420b32ac7c169bf95f0,https://look.ams-osram.com/m/17a2f1b05b6528bd/original/SFH-7015.pdf,,FIT,SFH7015
R701,R,R 0R,0R,10,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,"LED1 directly drives GREEN1, shared with mux NO1; verified visually against ADI p18",FIT,R 0R
D702,A,CT DBLP31.12-6C5D-56-J6U6,CT DBLP31.12-6C5D-56-J6U6,10,OSRM_CT-DBLP31_12-1,f7d9b6f3162c5c2d97f689e7142c5f82,https://look.ams-osram.com/m/7a84e13abf7bd695/original/CT-DBLP31-12.pdf,,FIT,CT DBLP31.12-6C5D-56-J6U6
D703,A,CT DBLP31.12-6C5D-56-J6U6,CT DBLP31.12-6C5D-56-J6U6,10,OSRM_CT-DBLP31_12-1,f7d9b6f3162c5c2d97f689e7142c5f82,https://look.ams-osram.com/m/7a84e13abf7bd695/original/CT-DBLP31-12.pdf,,FIT,CT DBLP31.12-6C5D-56-J6U6
R702,R,R 100k 1%,100k 1%,10,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 100k 1%
C701,C,C 100nF/10V,100nF/10V,10,SC0402,c229098197984ccd99912a2643d8918a,,,FIT,C 100nF/10V
C702,C,C 22uF/10V,22uF/10V,10,C_0805_2012,7bf6b4a8edb55f50ae2b828e7b1bac10,,,FIT,C 22uF/10V
C703,C,C 22uF/10V,22uF/10V,10,C_0805_2012,7bf6b4a8edb55f50ae2b828e7b1bac10,,,FIT,C 22uF/10V
R118,R,R 10k 1%,10k 1%,12,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 10k 1%
R119,R,R 200R 1%,200R 1%,12,SR0402,e3f3bece9e6c4c37a159570def6f46e2,,,FIT,R 200R 1%
TP001,A,PCB_TEST_POINT,GND,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP002,A,PCB_TEST_POINT,VSYS,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP003,A,PCB_TEST_POINT,+1V8,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP004,A,PCB_TEST_POINT,+3V3,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP005,A,PCB_TEST_POINT,+5V_SW,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP006,A,PCB_TEST_POINT,VDD_SIP,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP007,A,PCB_TEST_POINT,FLASH_VDD,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP008,A,PCB_TEST_POINT,RESET_N,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP009,A,PCB_TEST_POINT,BOOT_MODE,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP010,A,PCB_TEST_POINT,SENS_SCL,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP011,A,PCB_TEST_POINT,SENS_SDA,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP012,A,PCB_TEST_POINT,PPG_MFIO,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP013,A,PCB_TEST_POINT,PPG_RST_N,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP014,A,PCB_TEST_POINT,HAPTIC_EN,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP015,A,PCB_TEST_POINT,BOOST5_EN,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
TP016,A,PCB_TEST_POINT,VBAT_ADC,13,TEST_PAD_D1.0,04f225221750571e9663d129bf07e90f,,,PCB feature,NO COMPONENT - PCB PAD
