ref,pin,pin_name,net,sheet,type
C141,2,,GND,3,Passive
C142,1,,CORE_X32_IN,3,Passive
C142,2,,GND,3,Passive
C143,1,,CORE_X32_OUT,3,Passive
C143,2,,GND,3,Passive
R101,1,,+1V8,3,Passive
R101,2,,RESET_N,3,Passive
C144,1,,RESET_N,3,Passive
C144,2,,GND,3,Passive
SW101,1,CONTACT,RESET_N,3,Passive
SW101,2,CONTACT,GND,3,Passive
SW101,3,CASE,GND,3,Ground
R102,1,,BOOT_MODE,3,Passive
R102,2,,GND,3,Passive
SW102,1,CONTACT,VIOA,3,Passive
SW102,2,CONTACT,BOOT_MODE,3,Passive
SW102,3,CASE,GND,3,Ground
J101,1,VTREF_1V8,+1V8,3,Passive
J101,2,GND,GND,3,Passive
J101,3,SWDIO,SWDIO_1V8,3,Passive
J101,4,SWCLK,SWCLK_1V8,3,Passive
J101,5,RESET_N,RESET_N,3,Passive
J101,6,MCU_TX,UART4_TX_1V8,3,Passive
J101,7,MCU_RX,UART4_RX_1V8,3,Passive
U1,A15,PBR0,SIP_PWR_EN,4,Bidirectional
U1,A9,PA74,FLASH_PWR_EN,4,Bidirectional
U1,M5,PA30,FLASH_CS_N,4,Bidirectional
U1,N1,PA36,FLASH_D2,4,Bidirectional
U1,L5,PA37,FLASH_D1,4,Bidirectional
U1,K5,PA38,FLASH_D3,4,Bidirectional
U1,M1,PA39,FLASH_CLK,4,Bidirectional
U1,K4,PA40,FLASH_D0,4,Bidirectional
U104,8,VCC,FLASH_VDD,4,Power
U104,1,CS_N,FLASH_CS_N,4,Input
U104,6,CLK,FLASH_CLK,4,Input
U104,5,D0,FLASH_D0,4,Bidirectional
U104,2,D1,FLASH_D1,4,Bidirectional
U104,3,D2_WP_N,FLASH_D2,4,Bidirectional
U104,7,D3_HOLD_N,FLASH_D3,4,Bidirectional
U104,4,GND,GND,4,Ground
U104,9,EP,GND,4,Ground
Q101,1,G,SIP_GATE,4,Input
Q101,2,S,+1V8,4,Passive
Q101,3,D,VDD_SIP,4,Passive
Q102,1,G,SIP_PWR_EN,4,Input
Q102,2,S,GND,4,Passive
Q102,3,D,SIP_GATE,4,Passive
R110,1,,+1V8,4,Passive
R110,2,,SIP_GATE,4,Passive
R111,1,,SIP_PWR_EN,4,Passive
R111,2,,GND,4,Passive
R112,1,,+1V8,4,Passive
R112,2,,VDD_SIP,4,Passive
C150,1,,VDD_SIP,4,Passive
C150,2,,GND,4,Passive
Q103,1,G,FLASH_GATE,4,Input
Q103,2,S,VIOA,4,Passive
Q103,3,D,FLASH_VDD,4,Passive
Q104,1,G,FLASH_PWR_EN,4,Input
Q104,2,S,GND,4,Passive
Q104,3,D,FLASH_GATE,4,Passive
R113,1,,VIOA,4,Passive
R113,2,,FLASH_GATE,4,Passive
R114,1,,FLASH_PWR_EN,4,Passive
R114,2,,GND,4,Passive
R115,1,,VIOA,4,Passive
R115,2,,FLASH_VDD,4,Passive
C151,1,,FLASH_VDD,4,Passive
C151,2,,GND,4,Passive
C152,1,,FLASH_VDD,4,Passive
C152,2,,GND,4,Passive
R116,1,,FLASH_VDD,4,Passive
R116,2,,FLASH_CS_N,4,Passive
R117,1,,FLASH_VDD,4,Passive
R117,2,,FLASH_D3,4,Passive
J201,1,A1B12_GND,GND,5,Passive
J201,2,A4B9_VBUS,USB_VBUS_RAW,5,Passive
J201,3,A8_SBU1,,5,Passive
J201,4,A5_CC1,CC1,5,Passive
J201,5,B7_DM2,,5,Passive
J201,6,A6_DP1,,5,Passive
J201,7,A7_DM1,,5,Passive
J201,8,B6_DP2,,5,Passive
J201,9,B8_SBU2,,5,Passive
J201,10,B5_CC2,CC2,5,Passive
J201,11,B4A9_VBUS,USB_VBUS_RAW,5,Passive
J201,12,B1A12_GND,GND,5,Passive
J201,13,SHELL1,GND,5,Passive
J201,14,SHELL2,GND,5,Passive
J201,15,SHELL3,GND,5,Passive
J201,16,SHELL4,GND,5,Passive
J201,17,MOUNT_NC1,,5,Passive
J201,18,MOUNT_NC2,,5,Passive
R201,1,,CC1,5,Passive
R201,2,,GND,5,Passive
R202,1,,CC2,5,Passive
R202,2,,GND,5,Passive
F201,1,,USB_VBUS_RAW,5,Passive
F201,2,,USB_5V,5,Passive
U201,13,IN,USB_5V,5,Power
U201,4,CE_N,GND,5,Input
U201,5,EN2,GND,5,Input
U201,6,EN1,USB_5V,5,Input
U201,12,ILIM,CHG_ILIM,5,Input
U201,16,ISET,CHG_ISET,5,Input
U201,1,TS,BAT_NTC,5,Input
U201,14,TMR,,5,Input
U201,15,ITERM,,5,Input
U201,2,BAT,VBAT,5,Power
U201,3,BAT,VBAT,5,Power
U201,10,OUT,VSYS,5,Power
U201,11,OUT,VSYS,5,Power
U201,7,PGOOD_N,PGOOD_N,5,Open Drain
U201,9,CHG_N,CHG_N,5,Open Drain
U201,8,VSS,GND,5,Ground
U201,17,EP,GND,5,Ground
R203,1,,CHG_ISET,5,Passive
R203,2,,GND,5,Passive
R204,1,,CHG_ILIM,5,Passive
R204,2,,GND,5,Passive
R205,1,,+1V8,5,Passive
R205,2,,PGOOD_N,5,Passive
R206,1,,+1V8,5,Passive
R206,2,,CHG_N,5,Passive
C201,1,,USB_5V,5,Passive
C201,2,,GND,5,Passive
C202,1,,VSYS,5,Passive
C202,2,,GND,5,Passive
C203,1,,VBAT,5,Passive
C203,2,,GND,5,Passive
J202,1,PACK+,VBAT,5,Power
J202,2,PACK-,GND,5,Ground
J202,3,NTC10k,BAT_NTC,5,Passive
U301,2,VIN,VSYS,6,Power
U301,4,EN,VSYS,6,Input
U301,3,MODE,GND,6,Input
U301,6,STOP,GND,6,Input
U301,5,VSET,GND,6,Input
U301,1,GND,GND,6,Ground
U301,7,SW,BUCK18_SW,6,Power
U301,8,VOS,+1V8,6,Input
L301,1,,BUCK18_SW,6,Passive
L301,2,,+1V8,6,Passive
C301,1,,VSYS,6,Passive
C301,2,,GND,6,Passive
C302,1,,+1V8,6,Passive
C302,2,,GND,6,Passive
U302,5,VIN,VSYS,6,Power
U302,8,VINA,VSYS,6,Power
U302,6,EN,VSYS,6,Input
U302,7,PS/SYNC,GND,6,Input
U302,9,GND,GND,6,Ground
U302,3,PGND,GND,6,Ground
U302,11,EP,GND,6,Ground
U302,4,L1,BB33_L1,6,Power
U302,2,L2,BB33_L2,6,Power
U302,1,VOUT,+3V3,6,Power
U302,10,FB,+3V3,6,Input
L302,1,,BB33_L1,6,Passive
L302,2,,BB33_L2,6,Passive
C303,1,,VSYS,6,Passive
C303,2,,GND,6,Passive
C304,1,,VSYS,6,Passive
C304,2,,GND,6,Passive
C305,1,,+3V3,6,Passive
C305,2,,GND,6,Passive
C306,1,,+3V3,6,Passive
C306,2,,GND,6,Passive
U303,6,VIN,VSYS,6,Power
U303,4,EN,BOOST5_EN,6,Input
U303,3,FB,GND,6,Input
U303,1,GND,GND,6,Ground
U303,7,EP,GND,6,Ground
U303,5,SW,BOOST5_SW,6,Power
U303,2,VOUT,+5V_SW,6,Power
L303,1,,VSYS,6,Passive
L303,2,,BOOST5_SW,6,Passive
C307,1,,VSYS,6,Passive
C307,2,,GND,6,Passive
C308,1,,+5V_SW,6,Passive
C308,2,,GND,6,Passive
C309,1,,+5V_SW,6,Passive
C309,2,,GND,6,Passive
R301,1,,BOOST5_EN,6,Passive
R301,2,,GND,6,Passive
U1,J6,PA43,LCD_TE,7,Bidirectional
U1,E14,PA93,TP_RST,7,Bidirectional
U1,F15,PA92,TP_INT,7,Bidirectional
U1,D12,PA91,LCD_D0,7,Bidirectional
U1,E13,PA90,LCD_CLK,7,Bidirectional
U1,G14,PA88,LCD_CS,7,Bidirectional
U1,F13,PA86,LCD_D3,7,Bidirectional
U1,E12,PA84,LCD_D2,7,Bidirectional
U1,F12,PA82,LCD_D1,7,Bidirectional
U1,F6,PA52,LCD_BL,7,Bidirectional
U1,G6,PA51,LCD_RST,7,Bidirectional
U1,N6,PA29,TP_SDA,7,Bidirectional
U1,M6,PA28,TP_SCL,7,Bidirectional
J401,1,CONN2_1,+3V3,7,Passive
J401,2,CONN2_2,+5V_SW,7,Passive
J401,3,CONN2_3,TP_SDA,7,Passive
J401,4,CONN2_4,+5V_SW,7,Passive
J401,5,CONN2_5,TP_SCL,7,Passive
J401,6,CONN2_6,GND,7,Passive
J401,7,CONN2_7,,7,Passive
J401,8,CONN2_8,,7,Passive
J401,9,CONN2_9,GND,7,Passive
J401,10,CONN2_10,,7,Passive
J401,11,CONN2_11,,7,Passive
J401,12,CONN2_12,,7,Passive
J401,13,CONN2_13,,7,Passive
J401,14,CONN2_14,GND,7,Passive
J401,15,CONN2_15,,7,Passive
J401,16,CONN2_16,,7,Passive
J401,17,CONN2_17,+3V3,7,Passive
J401,18,CONN2_18,,7,Passive
J401,19,CONN2_19,LCD_TE,7,Passive
J401,20,CONN2_20,GND,7,Passive
J401,21,CONN2_21,LCD_D2,7,Passive
J401,22,CONN2_22,LCD_D1,7,Passive
J401,23,CONN2_23,LCD_CS,7,Passive
J401,24,CONN2_24,LCD_D3,7,Passive
J401,25,CONN2_25,GND,7,Passive
J401,26,CONN2_26,LCD_D0,7,Passive
J401,27,CONN2_27,LCD_CLK,7,Passive
J401,28,CONN2_28,LCD_RST,7,Passive
J401,29,CONN2_29,TP_INT,7,Passive
J401,30,CONN2_30,GND,7,Passive
J401,31,CONN2_31,TP_RST,7,Passive
J401,32,CONN2_32,LCD_BL,7,Passive
J401,33,CONN2_33,,7,Passive
J401,34,CONN2_34,GND,7,Passive
J401,35,CONN2_35,,7,Passive
J401,36,CONN2_36,,7,Passive
J401,37,CONN2_37,,7,Passive
J401,38,CONN2_38,,7,Passive
J401,39,CONN2_39,GND,7,Passive
J401,40,CONN2_40,,7,Passive
R401,1,,VIOA,7,Passive
R401,2,,TP_SCL,7,Passive
R402,1,,VIOA,7,Passive
R402,2,,TP_SDA,7,Passive
C401,1,,+3V3,7,Passive
C401,2,,GND,7,Passive
C402,1,,+3V3,7,Passive
C402,2,,GND,7,Passive
J402,1,ENC_A,CROWN_A,7,Passive
J402,2,ENC_COMMON,GND,7,Passive
J402,3,ENC_B,CROWN_B,7,Passive
J402,4,PUSH,CROWN_SW_N,7,Passive
J402,5,PUSH_COMMON,GND,7,Passive
R403,1,,+1V8,7,Passive
R403,2,,CROWN_A,7,Passive
R404,1,,+1V8,7,Passive
R404,2,,CROWN_B,7,Passive
R405,1,,+1V8,7,Passive
R405,2,,CROWN_SW_N,7,Passive
R406,1,,+1V8,7,Passive
R406,2,,SIDE_SW_N,7,Passive
R407,1,,+1V8,7,Passive
R407,2,,HOME_N,7,Passive
SW401,1,CONTACT,SIDE_SW_N,7,Passive
SW401,2,CONTACT,GND,7,Passive
SW401,3,CASE,GND,7,Ground
SW402,1,CONTACT,HOME_N,7,Passive
SW402,2,CONTACT,GND,7,Passive
SW402,3,CASE,GND,7,Ground
U1,R21,PB28,SENS_SCL,8,Bidirectional
U1,T20,PB29,SENS_SDA,8,Bidirectional
U1,R18,PB23,PPG_MFIO,8,Bidirectional
U1,R19,PB26,PPG_RST_N,8,Bidirectional
U1,P19,PB24,IMU_INT1,8,Bidirectional
U1,R20,PB27,IMU_INT2,8,Bidirectional
U1,P21,PB31,HAPTIC_EN,8,Bidirectional
U1,P20,PB30,BOOST5_EN,8,Bidirectional
U1,N20,PB34,CHG_N,8,Bidirectional
U1,M18,PB39,PGOOD_N,8,Bidirectional
U1,K17,PB38,VBAT_ADC,8,Bidirectional
U1,B16,PB47,CROWN_A,8,Bidirectional
U1,C17,PB48,CROWN_B,8,Bidirectional
U1,D18,PB51,CROWN_SW_N,8,Bidirectional
U1,D17,PB52,SIDE_SW_N,8,Bidirectional
U501,8,VDD,+1V8,8,Power
U501,5,VDDIO,+1V8,8,Power
U501,12,CS,+1V8,8,Input
U501,1,SDO/SA0,GND,8,Input
U501,2,SDx,GND,8,Input
U501,3,SCx,GND,8,Input
U501,6,GND,GND,8,Ground
U501,7,GND,GND,8,Ground
U501,13,SCL,SENS_SCL,8,Input
U501,14,SDA,SENS_SDA,8,Bidirectional
U501,4,INT1,IMU_INT1,8,Output
U501,9,INT2,IMU_INT2,8,Output
U501,10,OCS_AUX,,8,Output
U501,11,SDO_AUX,,8,Output
R501,1,,+1V8,8,Passive
R501,2,,SENS_SCL,8,Passive
R502,1,,+1V8,8,Passive
R502,2,,SENS_SDA,8,Passive
C501,1,,+1V8,8,Passive
C501,2,,GND,8,Passive
C502,1,,+1V8,8,Passive
C502,2,,GND,8,Passive
U502,10,VDD,VSYS,8,Power
U502,6,VDD/NC,VSYS,8,Power
U502,2,SCL,SENS_SCL,8,Input
U502,3,SDA,SENS_SDA,8,Bidirectional
U502,5,EN,HAPTIC_EN,8,Input
U502,4,IN/TRIG,GND,8,Input
U502,8,GND,GND,8,Ground
U502,7,OUT+,LRA_P,8,Output
U502,9,OUT-,LRA_N,8,Output
U502,1,REG,HAPTIC_REG,8,Power
C503,1,,VSYS,8,Passive
C503,2,,GND,8,Passive
C504,1,,HAPTIC_REG,8,Passive
C504,2,,GND,8,Passive
R503,1,,HAPTIC_EN,8,Passive
R503,2,,GND,8,Passive
J501,1,LRA+,LRA_P,8,Passive
J501,2,LRA-,LRA_N,8,Passive
R504,1,,VBAT,8,Passive
R504,2,,VBAT_ADC,8,Passive
R505,1,,VBAT_ADC,8,Passive
R505,2,,GND,8,Passive
C505,1,,VBAT_ADC,8,Passive
C505,2,,GND,8,Passive
U601,6,VDD,+1V8,9,Power
U601,22,VDD_AFE,+1V8,9,Power
U601,18,VLED,+5V_SW,9,Power
U601,3,HOST_SCL,SENS_SCL,9,Input
U601,4,HOST_SDA,SENS_SDA,9,Bidirectional
U601,12,MFIO,PPG_MFIO,9,Bidirectional
U601,10,RSTN,PPG_RST_N,9,Input
U601,8,32KIN,PPG_XI,9,Input
U601,9,32KOUT,PPG_XO,9,Output
U601,2,VREF,PPG_VREF,9,Power
U601,5,VCORE,PPG_VCORE,9,Power
U601,38,P0.3/PPG_INT,PPG_INT_LOCAL,9,Bidirectional
U601,11,P0.0/ACCEL_CS,,9,Output
U601,13,P0.2/ACCEL_INT,,9,Input
U601,35,P0.6/SCK,,9,Output
U601,36,P0.5/MOSI,,9,Output
U601,37,P0.4/MISO,,9,Input
U601,21,LED1_DRV,LED1_DRV,9,Output
U601,20,LED2_DRV,LED2_DRV,9,Output
U601,19,LED3_DRV,LED3_DRV,9,Output
U601,28,AFE_GPIO1,LED_MUX_CB,9,Output
U601,25,PD2_IN,PD2_LINK,9,Input
U601,26,PD2_CAT,PD2_LINK,9,Passive
U601,1,PD1_IN,,9,Input
U601,7,VSS,GND,9,Ground
U601,23,GND,GND,9,Ground
U601,24,GND,GND,9,Ground
U601,29,GND,GND,9,Ground
U601,30,GND,GND,9,Ground
U601,31,GND,GND,9,Ground
U601,32,GND,GND,9,Ground
U601,33,VSS,GND,9,Ground
U601,14,NC,,9,Undefined
U601,15,NC,,9,Undefined
U601,16,NC,,9,Undefined
U601,17,NC,,9,Undefined
U601,27,NC,,9,Undefined
U601,34,NC,,9,Undefined
C601,1,,+1V8,9,Passive
C601,2,,GND,9,Passive
C602,1,,+1V8,9,Passive
C602,2,,GND,9,Passive
C603,1,,+1V8,9,Passive
C603,2,,GND,9,Passive
C604,1,,PPG_VREF,9,Passive
C604,2,,GND,9,Passive
C605,1,,PPG_VCORE,9,Passive
C605,2,,GND,9,Passive
C606,1,,+5V_SW,9,Passive
C606,2,,GND,9,Passive
C607,1,,+5V_SW,9,Passive
C607,2,,GND,9,Passive
R601,1,,+1V8,9,Passive
R601,2,,PPG_MFIO,9,Passive
R602,1,,+1V8,9,Passive
R602,2,,PPG_INT_LOCAL,9,Passive
R603,1,,PPG_RST_SNUB,9,Passive
R603,2,,GND,9,Passive
C608,1,,PPG_RST_N,9,Passive
C608,2,,PPG_RST_SNUB,9,Passive
Y601,1,,PPG_XI,9,Passive
Y601,2,,PPG_XO,9,Passive
U701,C2,VCC,+1V8,10,Power
U701,B2,GND,GND,10,Ground
U701,A2,CB,LED_MUX_CB,10,Input
U701,B1,COM1,LED2_DRV,10,Passive
U701,B3,COM2,LED3_DRV,10,Passive
U701,A1,NC1,RED_K,10,Passive
U701,C1,NO1,GREEN1_K,10,Passive
U701,A3,NC2,IR_K,10,Passive
U701,C3,NO2,GREEN2_K,10,Passive
D701,3,A_RED+IR,+5V_SW,10,Passive
D701,2,K_RED_655nm,RED_K,10,Passive
D701,4,K_IR_940nm,IR_K,10,Passive
D701,1,NC,,10,Undefined
R701,1,,LED1_DRV,10,Passive
R701,2,,GREEN1_K,10,Passive
D702,1,ANODE,+5V_SW,10,Passive
D702,2,CATHODE,GREEN1_K,10,Passive
D702,3,CATHODE_THERMAL,GREEN1_K,10,Passive
D703,1,ANODE,+5V_SW,10,Passive
D703,2,CATHODE,GREEN2_K,10,Passive
D703,3,CATHODE_THERMAL,GREEN2_K,10,Passive
R702,1,,LED_MUX_CB,10,Passive
R702,2,,GND,10,Passive
C701,1,,+1V8,10,Passive
C701,2,,GND,10,Passive
C702,1,,+5V_SW,10,Passive
C702,2,,GND,10,Passive
C703,1,,+5V_SW,10,Passive
C703,2,,GND,10,Passive
U1,N13,PA00,,11,Bidirectional
U1,R13,PA01,,11,Bidirectional
U1,L12,PA02,,11,Bidirectional
U1,M12,PA03,,11,Bidirectional
U1,R12,PA04,,11,Bidirectional
U1,T12,PA05,,11,Bidirectional
U1,R11,PA06,,11,Bidirectional
U1,T11,PA07,,11,Bidirectional
U1,N12,PA08,,11,Bidirectional
U1,L11,PA09,,11,Bidirectional
U1,M11,PA10,,11,Bidirectional
U1,L10,PA11,,11,Bidirectional
U1,M10,PA12,,11,Bidirectional
U1,N10,PA13,,11,Bidirectional
U1,N9,PA14,,11,Bidirectional
U1,R10,PA15,,11,Bidirectional
U1,T9,PA16,,11,Bidirectional
U1,R9,PA17,,11,Bidirectional
U1,P9,PA18,,11,Bidirectional
U1,M9,PA19,,11,Bidirectional
U1,L9,PA20,,11,Bidirectional
U1,L8,PA21,,11,Bidirectional
U1,N8,PA22,,11,Bidirectional
U1,T8,PA23,,11,Bidirectional
U1,R8,PA24,,11,Bidirectional
U1,M8,PA25,,11,Bidirectional
U1,M7,PA26,,11,Bidirectional
U1,L7,PA27,,11,Bidirectional
U1,N5,PA31,,11,Bidirectional
U1,N4,PA32,,11,Bidirectional
U1,N3,PA33,,11,Bidirectional
U1,L6,PA34,,11,Bidirectional
U1,M4,PA35,,11,Bidirectional
U1,L2,PA41,,11,Bidirectional
U1,K6,PA42,,11,Bidirectional
U1,K3,PA44,,11,Bidirectional
U1,K2,PA45,,11,Bidirectional
U1,K1,PA46,,11,Bidirectional
U1,J5,PA47,,11,Bidirectional
U1,J4,PA48,,11,Bidirectional
U1,J2,PA49,,11,Bidirectional
U1,J1,PA50,,11,Bidirectional
U1,G5,PA53,,11,Bidirectional
U1,G4,PA54,,11,Bidirectional
U1,H2,PA55,,11,Bidirectional
U1,G2,PA56,,11,Bidirectional
U1,F4,PA57,,11,Bidirectional
U1,E5,PA58,,11,Bidirectional
U1,E4,PA59,,11,Bidirectional
U1,E3,PA60,,11,Bidirectional
U1,F1,PA61,,11,Bidirectional
U1,F2,PA62,,11,Bidirectional
U1,E2,PA63,,11,Bidirectional
U1,D5,PA64,,11,Bidirectional
U1,D6,PA65,,11,Bidirectional
U1,C7,PA66,,11,Bidirectional
U1,D7,PA67,,11,Bidirectional
U1,E7,PA68,,11,Bidirectional
U1,E8,PA69,,11,Bidirectional
U1,F9,PA70,,11,Bidirectional
U1,A8,PA71,,11,Bidirectional
U1,B8,PA72,,11,Bidirectional
U1,B9,PA73,,11,Bidirectional
U1,D9,PA75,,11,Bidirectional
U1,E9,PA76,,11,Bidirectional
U1,F10,PA77,,11,Bidirectional
U1,E10,PA78,,11,Bidirectional
U1,D10,PA79,,11,Bidirectional
U1,B10,PA80,,11,Bidirectional
U1,C10,PA81,,11,Bidirectional
U1,E11,PA83,,11,Bidirectional
U1,B11,PA85,,11,Bidirectional
U1,A11,PA87,,11,Bidirectional
U1,C11,PA89,,11,Bidirectional
U1,M13,PB00,,11,Bidirectional
U1,L13,PB01,,11,Bidirectional
U1,M14,PB02,,11,Bidirectional
U1,R14,PB03,,11,Bidirectional
U1,T14,PB04,,11,Bidirectional
U1,R15,PB05,,11,Bidirectional
U1,T15,PB06,,11,Bidirectional
U1,M15,PB08,,11,Bidirectional
U1,P15,PB09,,11,Bidirectional
U1,N15,PB10,,11,Bidirectional
U1,N16,PB12,,11,Bidirectional
U1,L16,PB13,,11,Bidirectional
U1,K16,PB14,,11,Bidirectional
U1,P17,PB15,,11,Bidirectional
U1,R16,PB16,,11,Bidirectional
U1,T17,PB17,,11,Bidirectional
U1,R17,PB18,,11,Bidirectional
U1,N17,PB19,,11,Bidirectional
U1,J16,PB20,,11,Bidirectional
U1,N18,PB21,,11,Bidirectional
U1,P18,PB22,,11,Bidirectional
U1,T19,PB25,,11,Bidirectional
U1,N19,PB32,,11,Bidirectional
U1,H16,PB33,,11,Bidirectional
U1,L17,PB35,,11,Bidirectional
U1,L18,PB40,,11,Bidirectional
U1,H17,PB41,,11,Bidirectional
U1,M20,PB42,,11,Bidirectional
U1,M21,PB43,,11,Bidirectional
U1,A19,PB44,,11,Bidirectional
U1,A20,PB45,,11,Bidirectional
U1,B19,PB46,,11,Bidirectional
U1,C19,PB49,,11,Bidirectional
U1,D19,PB50,,11,Bidirectional
U1,B15,PB53,,11,Bidirectional
U1,C15,PB55,,11,Bidirectional
U1,D16,PB56,,11,Bidirectional
U1,D14,PB57,,11,Bidirectional
U1,D15,PB58,,11,Bidirectional
U1,E15,PB59,,11,Bidirectional
U1,B14,PBR1,,11,Bidirectional
U1,A14,PBR2,,11,Bidirectional
U1,B13,PBR3,,11,Bidirectional
U1,B12,PBR4,,11,Bidirectional
U1,A12,PBR5,,11,Bidirectional
U1,C2,PVSS_PMU1,GND,12,Ground
U1,C3,PVSS_PMU2,GND,12,Ground
U1,A3,VSS,GND,12,Ground
U1,A4,VSS,GND,12,Ground
U1,B20,AVSS_RRF,GND,12,Ground
U1,B21,AVSS_RRF,GND,12,Ground
U1,D20,AVSS_TRF,GND,12,Ground
U1,D21,AVSS_TRF,GND,12,Ground
U1,C20,AVSS_VCO,GND,12,Ground
U1,E21,AVSS_TRF2,GND,12,Ground
U1,L20,GPADC_VREFN,GND,12,Ground
U1,K20,SDMADC_VSS_VREF,GND,12,Ground
U1,B18,AVSS_BB,GND,12,Ground
U1,B17,AVSS_CAU,GND,12,Ground
U1,P2,AVSS_DSI,GND,12,Ground
U1,J17,AVSS33_ANA,GND,12,Ground
U1,G20,AVSS33_AUD,GND,12,Ground
U1,H19,AUD_VREF_GND,GND,12,Ground
U1,A1,VSS,GND,12,Ground
U1,A21,VSS,GND,12,Ground
U1,B6,VSS,GND,12,Ground
U1,E19,VSS,GND,12,Ground
U1,G3,VSS,GND,12,Ground
U1,G8,VSS,GND,12,Ground
