ref,pin,pin_name,net,sheet,type
C201,1,,USB_5V,2,Passive
C201,2,,GND,2,Passive
C202,1,,VSYS,2,Passive
C202,2,,GND,2,Passive
C203,1,,VBAT,2,Passive
C203,2,,GND,2,Passive
J202,1,PACK+,VBAT,2,Power
J202,2,PACK-,GND,2,Ground
J202,3,NTC10k,BAT_NTC,2,Passive
U301,2,VIN,VSYS,3,Power
U301,4,EN,VSYS,3,Input
U301,3,MODE,GND,3,Input
U301,6,STOP,GND,3,Input
U301,5,VSET,GND,3,Input
U301,1,GND,GND,3,Ground
U301,7,SW,BUCK18_SW,3,Power
U301,8,VOS,+1V8,3,Input
L301,1,,BUCK18_SW,3,Passive
L301,2,,+1V8,3,Passive
C301,1,,VSYS,3,Passive
C301,2,,GND,3,Passive
C302,1,,+1V8,3,Passive
C302,2,,GND,3,Passive
U302,5,VIN,VSYS,3,Power
U302,8,VINA,VSYS,3,Power
U302,6,EN,VSYS,3,Input
U302,7,PS/SYNC,GND,3,Input
U302,9,GND,GND,3,Ground
U302,3,PGND,GND,3,Ground
U302,11,EP,GND,3,Ground
U302,4,L1,BB33_L1,3,Power
U302,2,L2,BB33_L2,3,Power
U302,1,VOUT,+3V3,3,Power
U302,10,FB,+3V3,3,Input
L302,1,,BB33_L1,3,Passive
L302,2,,BB33_L2,3,Passive
C303,1,,VSYS,3,Passive
C303,2,,GND,3,Passive
C304,1,,VSYS,3,Passive
C304,2,,GND,3,Passive
C305,1,,+3V3,3,Passive
C305,2,,GND,3,Passive
C306,1,,+3V3,3,Passive
C306,2,,GND,3,Passive
U303,6,VIN,VSYS,3,Power
U303,4,EN,BOOST5_EN,3,Input
U303,3,FB,GND,3,Input
U303,1,GND,GND,3,Ground
U303,7,EP,GND,3,Ground
U303,5,SW,BOOST5_SW,3,Power
U303,2,VOUT,+5V_SW,3,Power
L303,1,,VSYS,3,Passive
L303,2,,BOOST5_SW,3,Passive
C307,1,,VSYS,3,Passive
C307,2,,GND,3,Passive
C308,1,,+5V_SW,3,Passive
C308,2,,GND,3,Passive
C309,1,,+5V_SW,3,Passive
C309,2,,GND,3,Passive
R301,1,,BOOST5_EN,3,Passive
R301,2,,GND,3,Passive
U1,38,PA43,LCD_TE,4,Bidirectional
U1,79,PA93,TP_RST,4,Bidirectional
U1,80,PA92,TP_INT,4,Bidirectional
U1,81,PA91,LCD_D0,4,Bidirectional
U1,82,PA90,LCD_CLK,4,Bidirectional
U1,83,PA88,LCD_CS,4,Bidirectional
U1,84,PA86,LCD_D3,4,Bidirectional
U1,85,PA84,LCD_D2,4,Bidirectional
U1,86,PA82,LCD_D1,4,Bidirectional
U1,89,PA52,LCD_BL,4,Bidirectional
U1,90,PA51,LCD_RST,4,Bidirectional
U1,94,PA29,TP_SDA,4,Bidirectional
U1,95,PA28,TP_SCL,4,Bidirectional
J401,1,CONN2_1,+3V3,4,Passive
J401,2,CONN2_2,+5V_SW,4,Passive
J401,3,CONN2_3,TP_SDA,4,Passive
J401,4,CONN2_4,+5V_SW,4,Passive
J401,5,CONN2_5,TP_SCL,4,Passive
J401,6,CONN2_6,GND,4,Passive
J401,7,CONN2_7,,4,Passive
J401,8,CONN2_8,,4,Passive
J401,9,CONN2_9,GND,4,Passive
J401,10,CONN2_10,,4,Passive
J401,11,CONN2_11,,4,Passive
J401,12,CONN2_12,,4,Passive
J401,13,CONN2_13,,4,Passive
J401,14,CONN2_14,GND,4,Passive
J401,15,CONN2_15,,4,Passive
J401,16,CONN2_16,,4,Passive
J401,17,CONN2_17,+3V3,4,Passive
J401,18,CONN2_18,,4,Passive
J401,19,CONN2_19,LCD_TE,4,Passive
J401,20,CONN2_20,GND,4,Passive
J401,21,CONN2_21,LCD_D2,4,Passive
J401,22,CONN2_22,LCD_D1,4,Passive
J401,23,CONN2_23,LCD_CS,4,Passive
J401,24,CONN2_24,LCD_D3,4,Passive
J401,25,CONN2_25,GND,4,Passive
J401,26,CONN2_26,LCD_D0,4,Passive
J401,27,CONN2_27,LCD_CLK,4,Passive
J401,28,CONN2_28,LCD_RST,4,Passive
J401,29,CONN2_29,TP_INT,4,Passive
J401,30,CONN2_30,GND,4,Passive
J401,31,CONN2_31,TP_RST,4,Passive
J401,32,CONN2_32,LCD_BL,4,Passive
J401,33,CONN2_33,,4,Passive
J401,34,CONN2_34,GND,4,Passive
J401,35,CONN2_35,,4,Passive
J401,36,CONN2_36,,4,Passive
J401,37,CONN2_37,,4,Passive
J401,38,CONN2_38,,4,Passive
J401,39,CONN2_39,GND,4,Passive
J401,40,CONN2_40,,4,Passive
R401,1,,VIOA,4,Passive
R401,2,,TP_SCL,4,Passive
R402,1,,VIOA,4,Passive
R402,2,,TP_SDA,4,Passive
C401,1,,+3V3,4,Passive
C401,2,,GND,4,Passive
C402,1,,+3V3,4,Passive
C402,2,,GND,4,Passive
J402,1,ENC_A,CROWN_A,4,Passive
J402,2,ENC_COMMON,GND,4,Passive
J402,3,ENC_B,CROWN_B,4,Passive
J402,4,PUSH,CROWN_SW_N,4,Passive
J402,5,PUSH_COMMON,GND,4,Passive
R403,1,,+1V8,4,Passive
R403,2,,CROWN_A,4,Passive
R404,1,,+1V8,4,Passive
R404,2,,CROWN_B,4,Passive
R405,1,,+1V8,4,Passive
R405,2,,CROWN_SW_N,4,Passive
R406,1,,+1V8,4,Passive
R406,2,,SIDE_SW_N,4,Passive
R407,1,,+1V8,4,Passive
R407,2,,HOME_N,4,Passive
SW401,1,,SIDE_SW_N,4,Passive
SW401,2,,GND,4,Passive
SW402,1,,HOME_N,4,Passive
SW402,2,,GND,4,Passive
U1,118,PB28,SENS_SCL,5,Bidirectional
U1,119,PB29,SENS_SDA,5,Bidirectional
U1,116,PB23,PPG_MFIO,5,Bidirectional
U1,117,PB26,PPG_RST_N,5,Bidirectional
U1,120,PB24,IMU_INT1,5,Bidirectional
U1,121,PB27,IMU_INT2,5,Bidirectional
U1,122,PB31,HAPTIC_EN,5,Bidirectional
U1,123,PB30,BOOST5_EN,5,Bidirectional
U1,124,PB34,CHG_N,5,Bidirectional
U1,125,PB39,PGOOD_N,5,Bidirectional
U1,126,PB38,VBAT_ADC,5,Bidirectional
U1,127,PB47,CROWN_A,5,Bidirectional
U1,128,PB48,CROWN_B,5,Bidirectional
U1,73,PB51,CROWN_SW_N,5,Bidirectional
U1,74,PB52,SIDE_SW_N,5,Bidirectional
U501,8,VDD,+1V8,5,Power
U501,5,VDDIO,+1V8,5,Power
U501,12,CS,+1V8,5,Input
U501,1,SDO/SA0,GND,5,Input
U501,2,SDx,GND,5,Input
U501,3,SCx,GND,5,Input
U501,6,GND,GND,5,Ground
U501,7,GND,GND,5,Ground
U501,13,SCL,SENS_SCL,5,Input
U501,14,SDA,SENS_SDA,5,Bidirectional
U501,4,INT1,IMU_INT1,5,Output
U501,9,INT2,IMU_INT2,5,Output
U501,10,OCS_AUX,,5,Output
U501,11,SDO_AUX,,5,Output
R501,1,,+1V8,5,Passive
R501,2,,SENS_SCL,5,Passive
R502,1,,+1V8,5,Passive
R502,2,,SENS_SDA,5,Passive
C501,1,,+1V8,5,Passive
C501,2,,GND,5,Passive
C502,1,,+1V8,5,Passive
C502,2,,GND,5,Passive
U502,10,VDD,VSYS,5,Power
U502,6,VDD/NC,VSYS,5,Power
U502,2,SCL,SENS_SCL,5,Input
U502,3,SDA,SENS_SDA,5,Bidirectional
U502,5,EN,HAPTIC_EN,5,Input
U502,4,IN/TRIG,GND,5,Input
U502,8,GND,GND,5,Ground
U502,7,OUT+,LRA_P,5,Output
U502,9,OUT-,LRA_N,5,Output
U502,1,REG,HAPTIC_REG,5,Power
C503,1,,VSYS,5,Passive
C503,2,,GND,5,Passive
C504,1,,HAPTIC_REG,5,Passive
C504,2,,GND,5,Passive
R503,1,,HAPTIC_EN,5,Passive
R503,2,,GND,5,Passive
J501,1,LRA+,LRA_P,5,Passive
J501,2,LRA-,LRA_N,5,Passive
R504,1,,VBAT,5,Passive
R504,2,,VBAT_ADC,5,Passive
R505,1,,VBAT_ADC,5,Passive
R505,2,,GND,5,Passive
C505,1,,VBAT_ADC,5,Passive
C505,2,,GND,5,Passive
U601,6,VDD,+1V8,6,Power
U601,22,VDD_AFE,+1V8,6,Power
U601,18,VLED,+5V_SW,6,Power
U601,3,HOST_SCL,SENS_SCL,6,Input
U601,4,HOST_SDA,SENS_SDA,6,Bidirectional
U601,12,MFIO,PPG_MFIO,6,Bidirectional
U601,10,RSTN,PPG_RST_N,6,Input
U601,8,32KIN,PPG_XI,6,Input
U601,9,32KOUT,PPG_XO,6,Output
U601,2,VREF,PPG_VREF,6,Power
U601,5,VCORE,PPG_VCORE,6,Power
U601,38,P0.3/PPG_INT,PPG_INT_LOCAL,6,Bidirectional
U601,11,P0.0/ACCEL_CS,,6,Output
U601,13,P0.2/ACCEL_INT,,6,Input
U601,35,P0.6/SCK,,6,Output
U601,36,P0.5/MOSI,,6,Output
U601,37,P0.4/MISO,,6,Input
U601,21,LED1_DRV,LED1_DRV,6,Output
U601,20,LED2_DRV,LED2_DRV,6,Output
U601,19,LED3_DRV,LED3_DRV,6,Output
U601,28,AFE_GPIO1,LED_MUX_CB,6,Output
U601,25,PD2_IN,PD2_LINK,6,Input
U601,26,PD2_CAT,PD2_LINK,6,Passive
U601,1,PD1_IN,,6,Input
U601,7,VSS,GND,6,Ground
U601,23,GND,GND,6,Ground
U601,24,GND,GND,6,Ground
U601,29,GND,GND,6,Ground
U601,30,GND,GND,6,Ground
U601,31,GND,GND,6,Ground
U601,32,GND,GND,6,Ground
U601,33,VSS,GND,6,Ground
U601,14,NC,,6,Undefined
U601,15,NC,,6,Undefined
U601,16,NC,,6,Undefined
U601,17,NC,,6,Undefined
U601,27,NC,,6,Undefined
U601,34,NC,,6,Undefined
C601,1,,+1V8,6,Passive
C601,2,,GND,6,Passive
C602,1,,+1V8,6,Passive
C602,2,,GND,6,Passive
C603,1,,+1V8,6,Passive
C603,2,,GND,6,Passive
C604,1,,PPG_VREF,6,Passive
C604,2,,GND,6,Passive
C605,1,,PPG_VCORE,6,Passive
C605,2,,GND,6,Passive
C606,1,,+5V_SW,6,Passive
C606,2,,GND,6,Passive
C607,1,,+5V_SW,6,Passive
C607,2,,GND,6,Passive
R601,1,,+1V8,6,Passive
R601,2,,PPG_MFIO,6,Passive
R602,1,,+1V8,6,Passive
R602,2,,PPG_INT_LOCAL,6,Passive
R603,1,,PPG_RST_SNUB,6,Passive
R603,2,,GND,6,Passive
C608,1,,PPG_RST_N,6,Passive
C608,2,,PPG_RST_SNUB,6,Passive
Y601,1,,PPG_XI,6,Passive
Y601,2,,PPG_XO,6,Passive
U701,C2,VCC,+1V8,7,Power
U701,B2,GND,GND,7,Ground
U701,A2,CB,LED_MUX_CB,7,Input
U701,B1,COM1,LED2_DRV,7,Passive
U701,B3,COM2,LED3_DRV,7,Passive
U701,A1,NC1,RED_K,7,Passive
U701,C1,NO1,GREEN1_K,7,Passive
U701,A3,NC2,IR_K,7,Passive
U701,C3,NO2,GREEN2_K,7,Passive
D701,3,A_RED+IR,+5V_SW,7,Passive
D701,2,K_RED_655nm,RED_K,7,Passive
D701,4,K_IR_940nm,IR_K,7,Passive
D701,1,NC,,7,Undefined
R701,1,,LED1_DRV,7,Passive
R701,2,,GREEN1_K,7,Passive
D702,A,ANODE,+5V_SW,7,Passive
D702,K,CATHODE,GREEN1_K,7,Passive
D703,A,ANODE,+5V_SW,7,Passive
D703,K,CATHODE,GREEN2_K,7,Passive
R702,1,,LED_MUX_CB,7,Passive
R702,2,,GND,7,Passive
C701,1,,+1V8,7,Passive
C701,2,,GND,7,Passive
C702,1,,+5V_SW,7,Passive
C702,2,,GND,7,Passive
C703,1,,+5V_SW,7,Passive
C703,2,,GND,7,Passive
U1,5,PA75,,8,Bidirectional
U1,6,PA76,,8,Bidirectional
U1,7,PA77,,8,Bidirectional
U1,8,PA70,,8,Bidirectional
U1,9,PA81,,8,Bidirectional
U1,10,PA79,,8,Bidirectional
U1,17,PA13,,8,Bidirectional
U1,18,PA15,,8,Bidirectional
U1,19,PA14,,8,Bidirectional
U1,20,PA12,,8,Bidirectional
U1,21,PA67,,8,Bidirectional
U1,22,PA65,,8,Bidirectional
U1,23,PA63,,8,Bidirectional
U1,24,PA62,,8,Bidirectional
U1,25,PA61,,8,Bidirectional
U1,26,PA58,,8,Bidirectional
U1,27,PA57,,8,Bidirectional
U1,28,PA56,,8,Bidirectional
U1,29,PA55,,8,Bidirectional
U1,30,PA54,,8,Bidirectional
U1,31,PA53,,8,Bidirectional
U1,32,PA50,,8,Bidirectional
U1,33,PA48,,8,Bidirectional
U1,34,PA47,,8,Bidirectional
U1,35,PA46,,8,Bidirectional
U1,36,PA45,,8,Bidirectional
U1,37,PA44,,8,Bidirectional
U1,39,PA27,,8,Bidirectional
U1,40,PA26,,8,Bidirectional
U1,41,PA25,,8,Bidirectional
U1,42,PA24,,8,Bidirectional
U1,43,PA23,,8,Bidirectional
U1,44,PA22,,8,Bidirectional
U1,47,DSI_D0N,,8,Bidirectional
U1,48,DSI_D0P,,8,Bidirectional
U1,49,DSI_CLKN,,8,Bidirectional
U1,50,DSI_CLKP,,8,Bidirectional
U1,51,DSI_D1N,,8,Bidirectional
U1,52,DSI_D1P,,8,Bidirectional
U1,53,PA32,,8,Bidirectional
U1,54,PA31,,8,Bidirectional
U1,55,USB_DN,,8,Bidirectional
U1,56,USB_DP,,8,Bidirectional
U1,57,PA17,,8,Bidirectional
U1,58,PA16,,8,Bidirectional
U1,59,PA00,,8,Bidirectional
U1,60,PA03,,8,Bidirectional
U1,61,PB17,,8,Bidirectional
U1,62,PB18,,8,Bidirectional
U1,66,DAC1N,,8,Bidirectional
U1,67,DAC1P,,8,Bidirectional
U1,68,MIC_BIAS,,8,Bidirectional
U1,69,ADC1N,,8,Bidirectional
U1,70,ADC1P,,8,Bidirectional
U1,72,BT_ANT,,8,Bidirectional
U1,75,PB56,,8,Bidirectional
U1,76,PB57,,8,Bidirectional
U1,77,PB58,,8,Bidirectional
U1,78,PB59,,8,Bidirectional
U1,87,PA60,,8,Bidirectional
U1,88,PA59,,8,Bidirectional
U1,91,PA42,,8,Bidirectional
U1,92,PA20,,8,Bidirectional
U1,93,PA21,,8,Bidirectional
U1,96,PA18,,8,Bidirectional
U1,97,PA02,,8,Bidirectional
U1,98,PA11,,8,Bidirectional
U1,99,PA08,,8,Bidirectional
U1,100,PA07,,8,Bidirectional
U1,101,PA10,,8,Bidirectional
U1,102,PA09,,8,Bidirectional
U1,103,PA06,,8,Bidirectional
U1,104,PA04,,8,Bidirectional
U1,105,PA05,,8,Bidirectional
U1,106,PA01,,8,Bidirectional
U1,107,PB10,,8,Bidirectional
U1,108,PB09,,8,Bidirectional
U1,109,PB08,,8,Bidirectional
U1,110,PB06,,8,Bidirectional
U1,111,PB04,,8,Bidirectional
U1,112,PB03,,8,Bidirectional
U1,113,PB02,,8,Bidirectional
U1,114,UNVERIFIED_UNUSED,,8,Bidirectional
U1,115,UNVERIFIED_UNUSED,,8,Bidirectional
U1,129,DAC2N,,8,Bidirectional
U1,130,DAC2P,,8,Bidirectional
U1,131,ADC2N,,8,Bidirectional
U1,132,ADC2P,,8,Bidirectional
